No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,time 2,time 1,delay 1,delay 2,jitter
146,14.675681,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=80394 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
147,14.675813,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=81774 Win=264 Len=0,,,,,,,,,,,
148,14.679419,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=81774 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
149,14.680031,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=83154 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
150,14.680031,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=84534 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
151,14.680239,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=85914 Win=264 Len=0,,,,,,,,,,,
152,14.694942,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=85914 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
153,14.695117,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=87294 Win=264 Len=0,,,,,,,,,,,
154,14.696432,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=87294 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
155,14.698781,23.219.184.122,192.168.43.119,TCP,1434,80  >  50442 [ACK] Seq=88674 Ack=1661 Win=279 Len=1380 [TCP segment of a reassembled PDU],,,,,,,,,,,
156,14.69889,192.168.43.119,23.219.184.122,TCP,54,50442  >  80 [ACK] Seq=1661 Ack=90054 Win=264 Len=0,,,,,,,,,,,
